y,prob
0,0.07080281031309134
1,0.9766771415864552
1,0.9782454126816971
1,0.9636409908949709
0,0.48649841968723795
0,0.045046428716212776
1,0.9628448542447305
0,0.23722413393296846
1,0.8741483140910138
0,0.6789331794990527
1,0.9602366008138877
0,0.17959431459175446
1,0.9764884756238975
0,0.6186356422998327
1,0.9498265060053701
0,0.06163634474322478
0,0.04992806323405006
1,0.5154728442890598
1,0.9645142837914302
1,0.557328334440647
0,0.5012425745060989
1,0.8186574596172197
0,0.06707576965861639
0,0.24199994576643225
0,0.8115476629307479
0,0.42589552959681826
0,0.05020826058833861
0,0.7364794445260725
0,0.5988034477779914
1,0.028193772138958493
1,0.7809243490657821
0,0.3997764257807698
1,0.9633307088695485
0,0.16670369028316126
0,0.06309558476002365
0,0.4584995574866376
1,0.5046875990301276
0,0.09845060113473557
1,0.8686241666771586
0,0.9602366008138877
0,0.11512159540286837
0,0.028696020641692688
0,0.2213779112091409
0,0.24575695374408424
1,0.2310464361907543
0,0.5010320022934199
1,0.8686241666771586
0,0.411911092265555
1,0.5549191820441229
0,0.5273231263233376
1,0.024835197295053534
0,0.2518625633360499
1,0.5886671631973837
0,0.1486638322673036
0,0.2943589132748864
1,0.19738864516314247
1,0.8367375888640664
0,0.33754351529002585
0,0.6502524136058594
1,0.6117945790679143
0,0.030171290584884377
1,0.9322329647219078
0,0.22259850897338881
1,0.9427271806753649
0,0.045046428716212776
0,0.3401493432168161
1,0.8737148653035719
1,0.8741483140910138
1,0.863476153177632
0,0.7173273758256735
0,0.44656774498913016
1,0.9076187898726957
1,0.9747431613537293
0,0.7310588850087438
0,0.14804560519647278
1,0.9493761694368889
0,0.051918474705175015
0,0.1572834792920913
1,0.9620602006779055
0,0.24575695374408424
0,0.021328379237055543
0,0.1637519512451363
1,0.43204215737275037
0,0.7352104057003755
1,0.9607095567374657
0,0.344933830392034
1,0.9223890081573044
0,0.43720087758234666
1,0.06625787115642068
0,0.04992806323405006
0,0.41320147039180904
0,0.15206934143725825
1,0.5698804013081719
0,0.07427726145978099
0,0.10397782212624718
0,0.04599844360986073
0,0.48956914263404083
1,0.9748969801679207
1,0.20929332731094377
0,0.4488451570645777
1,0.9256346990147583
0,0.06403205648863743
0,0.7777965235268782
0,0.2310464361907543
0,0.7013124523675629
1,0.4000986230696716
1,0.0956721932341297
0,0.41320147039180904
0,0.33609822935751793
0,0.09952900798932966
1,0.8741483140910138
0,0.020817184854217418
1,0.8358034696575931
0,0.024351966324840317
1,0.9641324168011229
0,0.24199994576643225
0,0.15946533276994568
1,0.38644347446849386
1,0.7033785764536257
0,0.3005779586424861
0,0.2310464361907543
1,0.6789639930078524
1,0.24199994576643225
0,0.045046428716212776
1,0.9608375613923603
0,0.045046428716212776
0,0.7643166315754732
0,0.05198336972228532
1,0.45059801230721414
0,0.12785349028256995
1,0.21490293348936054
0,0.3631604859046862
0,0.0903293414205329
0,0.021328379237055543
1,0.4805155504428495
0,0.4295725075209837
1,0.8687742280176748
0,0.3131894450367004
1,0.9723110868978835
0,0.08133863597003402
0,0.5631882729631417
1,0.9755399641466777
1,0.8678998330772181
0,0.021328379237055543
1,0.5318956930889689
0,0.045046428716212776
0,0.045046428716212776
0,0.22307976737348945
0,0.7439940117330726
0,0.2499836023127707
1,0.9726533076353688
0,0.33654783795340243
1,0.9736459128657132
0,0.4870728602570053
1,0.9051333048056807
0,0.024835197295053534
0,0.2310464361907543
0,0.5629572331544598
1,0.030169636746651896
0,0.6410144171739462
0,0.8366914226943828
0,0.7428192118644579
0,0.3158200374621757
0,0.4584995574866376
0,0.6789639930078524
1,0.9544651384470588
1,0.9734333933215626
0,0.17453105916128833
0,0.30734378346143554
0,0.9223890081573044
1,0.9155785154894248
0,0.2310464361907543
1,0.9233680312942011
0,0.02095605697836102
0,0.25930834041882583
0,0.2833539459858043
0,0.06040754508504444
