Feature,Gain,Cover,Frequency
Sex_male,0.4138835473106459,0.14352921650984948,0.037037037037037035
Age,0.22069377317663327,0.3141492933651649,0.3759820426487093
Fare,0.21765896669922868,0.3379846544702473,0.40404040404040403
Pclass_X3,0.08018830954807132,0.05081132147735832,0.037037037037037035
SibSp,0.028665481890169896,0.08597709660534412,0.06060606060606061
Embarked_S,0.02349247828799068,0.03561899168890194,0.050505050505050504
Parch,0.0092821718492525,0.0063769485120453474,0.008978675645342313
Pclass_X2,0.004845312205429864,0.022967227974313473,0.015712682379349047
Embarked_Q,0.0012899590325778196,0.002585249396775141,0.010101010101010102
