learning_rate,num_leaves,max_depth,auc,best_iter
0.01,31,5,0.8615947955032814,22
0.1,31,5,0.8663873827292798,7
0.2,31,5,0.8951685510756701,25
0.01,63,5,0.8583198532371286,18
0.1,63,5,0.8849496450937818,30
0.2,63,5,0.883727949359622,23
0.01,127,5,0.8586200593065273,4
0.1,127,5,0.8877610452968202,33
0.2,127,5,0.8765005821568775,26
0.01,31,10,0.8519870135543479,7
0.1,31,10,0.8819093316803066,11
0.2,31,10,0.8861335291576476,13
0.01,63,10,0.8428646017053094,2
0.1,63,10,0.8943243268121154,28
0.2,63,10,0.87265379800383,27
0.01,127,10,0.8554834149013812,14
0.1,127,10,0.8783170041355373,36
0.2,127,10,0.8796743524703334,16
0.01,31,15,0.8497768004718051,5
0.1,31,15,0.8844813629039332,34
0.2,31,15,0.8805693870901244,15
0.01,63,15,0.8547298039693821,33
0.1,63,15,0.8750247569518705,35
0.2,63,15,0.8906183166844229,22
0.01,127,15,0.8659571916085387,29
0.1,127,15,0.8867602509765993,27
0.2,127,15,0.8844127934605516,15
